"country","internet-users","obese-people"
"Afghanistan",1.84,"2.4"
"Albania",23.86,"21.1"
"Algeria",10.18,"17.5"
"Andorra",70.04,"24.2"
"Angola",4.6,"7.2"
"Antigua and Barbuda",38,"25.8"
"Argentina",28.11262348,"29.4"
"Armenia",6.21,"23.4"
"Australia",71.67,"25.1"
"Austria",72.87,"18.3"
"Azerbaijan",17.08,"24.7"
"Bahamas",31.54,"35.0"
"Bahrain",51.95,"32.6"
"Bangladesh",2.5,"1.1"
"Barbados",61.4,"33.4"
"Belarus",23,"23.4"
"Belgium",66,"19.1"
"Belize",26.3,"34.9"
"Benin",1.85,"6.5"
"Bhutan",6.55,"5.5"
"Bosnia and Herzegovina",34.66,"24.2"
"Botswana",6.25,"13.5"
"Brazil",33.83,"19.5"
"Brunei Darussalam",46,"7.9"
"Bulgaria",39.67,"21.4"
"Burkina Faso",0.92,"2.4"
"Burundi",0.81,"3.3"
"Cambodia",0.51,"2.3"
"Cameroon",3.4,"11.1"
"Canada",76.7,"24.3"
"Chad",1.19,"3.1"
"Chile",37.3,"29.1"
"China",22.6,"5.6"
"Colombia",25.6,"18.1"
"Comoros",3,"4.4"
"Congo",4.287509903,"5.3"
"Costa Rica",32.29,"24.6"
"Croatia",44.24,"21.3"
"Cuba",12.94,"20.5"
"Cyprus",42.31,"23.4"
"Czech Republic",62.97,"28.7"
"Denmark",85.02,"16.2"
"Djibouti",2.26,"10.4"
"Dominica",41.16,"25.0"
"Ecuador",18.8,"22.0"
"Egypt",18.01,"34.6"
"El Salvador",10.08,"26.9"
"Equatorial Guinea",1.82,"11.5"
"Eritrea",0.47,"1.8"
"Estonia",70.58,"18.9"
"Ethiopia",0.45,"1.2"
"Fiji",13,"31.9"
"Finland",83.67,"19.9"
"France",70.68,"15.6"
"Gabon",6.21,"15.0"
"Gambia",6.88,"8.5"
"Georgia",10.01,"21.2"
"Germany",78,"21.3"
"Ghana",4.27,"8.0"
"Greece",38.2,"17.5"
"Grenada",23.18,"24.0"
"Guatemala",8.3,"20.7"
"Guinea",0.92,"4.7"
"Guinea-Bissau",2.354888711,"5.4"
"Guyana",18.2,"16.9"
"Haiti",7.6,"8.4"
"Honduras",9.6,"19.8"
"Hungary",61,"24.8"
"Iceland",91,"21.9"
"India",4.38,"1.9"
"Indonesia",7.917479385,"4.7"
"Iraq",1,"29.4"
"Ireland",65.34,"24.5"
"Israel",59.39,"25.5"
"Italy",44.53,"17.2"
"Jamaica",23.6,"24.6"
"Japan",75.4,"4.5"
"Jordan",23,"34.3"
"Kazakhstan",11,"24.4"
"Kenya",8.67,"4.7"
"Kiribati",7,"45.8"
"Kuwait",42,"42.8"
"Kyrgyzstan",15.7,"17.2"
"Latvia",63.41,"22.0"
"Lebanon",22.53,"28.2"
"Lesotho",3.58,"16.9"
"Liberia",0.53,"5.5"
"Libya",9,"30.8"
"Lithuania",55.22,"24.7"
"Luxembourg",82.23,"23.4"
"Madagascar",1.65,"1.7"
"Malawi",0.7,"4.5"
"Malaysia",55.8,"14.1"
"Maldives",23.2,"16.1"
"Mali",1.57,"4.8"
"Malta",50.08,"26.6"
"Marshall Islands",4.6,"46.5"
"Mauritania",1.87,"14.0"
"Mauritius",21.81,"18.2"
"Mexico",21.71,"32.8"
"Mongolia",9.8,"16.4"
"Montenegro",32.9,"21.8"
"Morocco",33.1,"17.3"
"Mozambique",1.56,"5.4"
"Myanmar",0.22,"4.1"
"Namibia",5.329003772,"10.9"
"Nepal",1.73,"1.5"
"Netherlands",87.42,"16.2"
"New Zealand",72.03,"27.0"
"Nicaragua",5.3,"24.2"
"Niger",0.7,"2.5"
"Nigeria",15.86,"7.1"
"Norway",90.57,"19.8"
"Oman",20,"22.0"
"Pakistan",7,"5.9"
"Panama",33.82,"25.8"
"Papua New Guinea",1.15,"15.9"
"Paraguay",14.27,"19.2"
"Peru",30.57,"16.5"
"Philippines",6.22,"6.4"
"Poland",53.13,"23.2"
"Portugal",44.13,"21.6"
"Qatar",44.3,"33.1"
"Romania",32.42,"17.7"
"Rwanda",4.5,"4.3"
"Saint Kitts and Nevis",49.2,"40.9"
"Saint Lucia",32,"22.3"
"Samoa",5.031615316,"55.5"
"Sao Tome and Principe",15.48,"11.3"
"Saudi Arabia",36,"35.2"
"Senegal",7.12,"8.0"
"Serbia",35.6,"23.0"
"Seychelles",40.44,"24.6"
"Sierra Leone",0.25,"7.0"
"Singapore",69,"6.4"
"Slovenia",58,"27.0"
"Solomon Islands",3,"32.1"
"Somalia",1.142687372,"5.3"
"South Africa",8.43,"33.5"
"Spain",59.6,"24.1"
"Sri Lanka",5.8,"5.0"
"Suriname",21.06,"25.8"
"Swaziland",6.85,"23.4"
"Sweden",90,"16.6"
"Switzerland",79.2,"14.9"
"Tajikistan",8.78,"9.9"
"Thailand",18.2,"8.5"
"Timor-Leste",0.163876816,"2.9"
"Togo",2.4,"4.6"
"Tonga",8.110769944,"59.6"
"Trinidad and Tobago",34.8,"30.0"
"Tunisia",27.53,"23.8"
"Turkey",34.37,"29.3"
"Turkmenistan",1.75,"14.3"
"Uganda",7.9,"4.6"
"Ukraine",11,"20.1"
"United Arab Emirates",63,"33.7"
"United Kingdom",78.39,"24.9"
"Uruguay",39.3,"23.6"
"Uzbekistan",9.080114523,"17.3"
"Vanuatu",7.269119923,"29.8"
"Viet Nam",23.92,"1.6"
"Yemen",6.89,"16.7"
"Zambia",5.55,"4.2"
"Zimbabwe",11.4,"8.6"
