"country","literacy rate","expenditure on education"
"Angola",70.1,3.43897
"Argentina",97.8,4.60637
"Armenia",99.6,3.249
"Benin",42.4,5.02932
"Brazil",90.4,5.64736
"Brunei Darussalam",95.2,2.04661
"Burundi",67.2,6.79287
"Cameroon",71.3,3.31318
"Central African Republic",56,1.20455
"Chad",34.5,1.98194
"Colombia",93.4,4.82616
"Costa Rica",96.2,6.81181
"Croatia",98.8,4.25217
"Cuba",99.8,12.83727
"Cyprus",98.3,6.66191
"Democratic Republic of the Congo",66.8,1.60244
"Ecuador",91.9,4.07574
"El Salvador",84.5,3.48668
"Estonia",99.8,5.52627
"Gambia",50,4.15338
"Ghana",67.3,5.5406
"Ghana",71.5,5.5406
"Guatemala",75.2,2.80307
"Guinea",25.3,3.69186
"Guinea",41,3.69186
"Guinea-Bissau",54.2,1.86424
"Hungary",99,4.79943
"Italy",98.9,4.3492
"Jamaica",86.6,6.3713
"Kenya",87.4,5.50822
"Latvia",99.8,5.08564
"Lithuania",99.7,5.29903
"Malawi",61.3,4.35638
"Malawi",74.8,4.35638
"Malaysia",93.1,4.96644
"Mali",31.1,3.85454
"Mauritania",58,3.60428
"Mauritius",88.5,3.65578
"Mexico",93.1,5.19791
"Mongolia",97.4,4.6451
"Namibia",88.8,8.34961
"Nepal",60.3,4.71699
"Paraguay",93.9,3.76766
"Poland",99.5,5.06927
"Portugal",95.2,5.40289
"Qatar",96.3,4.53966
"Romania",97.7,3.45849
"Rwanda",71.1,4.95011
"Rwanda",65.9,4.95011
"Sao Tome and Principe",89.2,9.7641
"Serbia",97.9,4.58655
"Sierra Leone",42.1,2.58865
"Singapore",95.9,3.10836
"Slovenia",99.7,5.56251
"Spain",97.7,4.81924
"Sri Lanka",91.2,1.71774
"Swaziland",87.4,6.96617
"Tajikistan",99.7,4.00675
"Timor-Leste",58.3,10.48715
"Tunisia",79.1,6.25478
"Uganda",73.2,2.25446
"United Republic of Tanzania",67.8,4.62239
"United Republic of Tanzania",73.2,4.62239
"Viet Nam",93.2,6.28534
"Zimbabwe",92.2,1.97333
