state,population,per-capita-income
Alabama,4779736.00,38965.00
Alaska,710231.00,55940.00
Arizona,6392017.00,39060.00
Arkansas,2915918.00,39107.00
California,37253956.00,52651.00
Colorado,5029196.00,50410.00
Connecticut,3574097.00,66972.00
Delaware,897934.00,47662.00
Florida,18801310.00,44101.00
Georgia,9687653.00,40551.00
Hawaii,1360301.00,47753.00
Idaho,1567582.00,37509.00
Illinois,12830632.00,49471.00
Indiana,6483802.00,40998.00
Iowa,3046355.00,44971.00
Kansas,2853118.00,45876.00
Kentucky,4339367.00,38989.00
Louisiana,4533372.00,43252.00
Maine,1328361.00,42077.00
Maryland,5773552.00,56127.00
Massachusetts,6547629.00,61032.00
Michigan,9883640.00,42427.00
Minnesota,5303925.00,50541.00
Mississippi,2967297.00,35444.00
Missouri,5988927.00,42752.00
Montana,989415.00,41280.00
Nebraska,1826341.00,48006.00
Nevada,2700551.00,42185.00
New Hampshire,1316470.00,54817.00
New Jersey,8791894.00,59782.00
New Mexico,2059179.00,38457.00
New York,19378102.00,57705.00
North Carolina,9535483.00,40656.00
North Dakota,672591.00,54376.00
Ohio,11536504.00,43478.00
Oklahoma,3751351.00,44272.00
Oregon,3831074.00,42974.00
Pennsylvania,12702379.00,49180.00
Rhode Island,1052567.00,50080.00
South Carolina,4625364.00,38041.00
South Dakota,814180.00,45002.00
Tennessee,6346105.00,42069.00
Texas,25145561.00,46745.00
Utah,2763885.00,39045.00
Vermont,625741.00,47864.00
Virginia,8001024.00,52136.00
Washington,6724540.00,51146.00
West Virginia,1852994.00,37047.00
Wisconsin,5686986.00,45617.00
Wyoming,563626.00,55303.00
